"Var1","Var2","radius"
-8.63,41.15,0.01
-8.62,41.15,0.01
-8.61,41.15,0.01
-8.6,41.15,0.01
-8.59,41.15,0.01
-8.58,41.15,0.01
-8.57,41.15,0.01
-8.56,41.15,0.01
-8.55,41.15,0.01
-8.54,41.15,0.01
-8.53,41.15,0.01
-8.52,41.15,0.01
-8.51,41.15,0.01
-8.5,41.15,0.01
-8.49,41.15,0.01
-8.48,41.15,0.01
-8.47,41.15,0.01
-8.46,41.15,0.01
-8.45,41.15,0.01
-8.7,41.16,0.01
-8.69,41.16,0.01
-8.68,41.16,0.01
-8.67,41.16,0.01
-8.66,41.16,0.01
-8.65,41.16,0.01
-8.64,41.16,0.01
-8.63,41.16,0.01
-8.62,41.16,0.01
-8.61,41.16,0.01
-8.6,41.16,0.01
-8.59,41.16,0.01
-8.58,41.16,0.01
-8.57,41.16,0.01
-8.56,41.16,0.01
-8.55,41.16,0.01
-8.54,41.16,0.01
-8.53,41.16,0.01
-8.52,41.16,0.01
-8.51,41.16,0.01
-8.5,41.16,0.01
-8.49,41.16,0.01
-8.48,41.16,0.01
-8.47,41.16,0.01
-8.46,41.16,0.01
-8.45,41.16,0.01
-8.7,41.17,0.01
-8.69,41.17,0.01
-8.68,41.17,0.01
-8.67,41.17,0.01
-8.66,41.17,0.01
-8.65,41.17,0.01
-8.64,41.17,0.01
-8.63,41.17,0.01
-8.62,41.17,0.01
-8.61,41.17,0.01
-8.6,41.17,0.01
-8.59,41.17,0.01
-8.58,41.17,0.01
-8.57,41.17,0.01
-8.56,41.17,0.01
-8.55,41.17,0.01
-8.54,41.17,0.01
-8.53,41.17,0.01
-8.52,41.17,0.01
-8.51,41.17,0.01
-8.5,41.17,0.01
-8.49,41.17,0.01
-8.48,41.17,0.01
-8.47,41.17,0.01
-8.46,41.17,0.01
-8.45,41.17,0.01
-8.7,41.18,0.01
-8.69,41.18,0.01
-8.68,41.18,0.01
-8.67,41.18,0.01
-8.66,41.18,0.01
-8.65,41.18,0.01
-8.64,41.18,0.01
-8.63,41.18,0.01
-8.62,41.18,0.01
-8.61,41.18,0.01
-8.6,41.18,0.01
-8.59,41.18,0.01
-8.58,41.18,0.01
-8.57,41.18,0.01
-8.56,41.18,0.01
-8.55,41.18,0.01
-8.54,41.18,0.01
-8.53,41.18,0.01
-8.52,41.18,0.01
-8.51,41.18,0.01
-8.5,41.18,0.01
-8.49,41.18,0.01
-8.48,41.18,0.01
-8.47,41.18,0.01
-8.46,41.18,0.01
-8.45,41.18,0.01
-8.7,41.19,0.01
-8.69,41.19,0.01
-8.68,41.19,0.01
-8.67,41.19,0.01
-8.66,41.19,0.01
-8.65,41.19,0.01
-8.64,41.19,0.01
-8.63,41.19,0.01
-8.62,41.19,0.01
-8.61,41.19,0.01
-8.6,41.19,0.01
-8.59,41.19,0.01
